ID,business_name,Dine in,Serves food,Serves alcohol,Drinks only,Primarily food,Primarily drinks,Cocktails,beer ,Craft Beer,Draft Beer,Spirits,Wine menu ,Outdoor seating,Takeaway drinks,Heater,By river,LGBT+ Friendly,Family Friendly,Student friendly,Wheelchair accessible ,Rooftop,Good views,Atmospheric ,Cosy,Trendy,Hip,Quirky,Rustic,Casual,Smart,Lively,Fine Dining,Relaxed,Authentic,Snug,Industrial,Impressive,No Frills,Independent,Happy Hour Food,Happy Hour Drinks,Good for kids,Children's menu,Live Music,DJs,Pop-up Events,WiFi,Vegetrian Options,Vegan Options,Fireplace,Late-night Food,visits_count
44,Star and Garter,1,1,1,1,-1,1,0,1,1,1,1,1,1,1,1,-1,0,0,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,0,-1,-1,-1,-1,1,0,0,0,-1,1,1,1,1,0,0,0,-1,0
45,Cloak and Dagger,1,1,1,1,-1,-1,1,1,1,1,1,1,1,0,0,-1,0,0,0,0,-1,-1,0,1,-1,1,1,0,1,0,0,-1,1,0,0,-1,0,-1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
46,Lisa's Chocolate,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,0,0,-1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0
47,Replay,1,1,1,1,-1,-1,1,1,0,0,1,1,-1,0,0,-1,0,0,0,0,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,-1,-1,-1,0,0,0,1,-1,-1,-1,0,0,1,1,0,0,0
48,Bento House,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,0
49,Cat & Wheel,0,0,1,1,-1,1,0,1,0,1,1,1,1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
50,Filthy XIII,1,1,1,1,-1,1,1,1,0,0,1,1,1,1,-1,-1,1,0,0,0,-1,-1,1,1,1,0,-1,-1,1,0,1,-1,-1,0,1,-1,0,-1,1,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,3
51,Bulls Burger,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,-1,-1,-1,-1,-1,1,0,-1,1,0
52,Indian Fast Food,1,1,0,-1,1,-1,0,0,0,0,0,0,-1,1,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,-1,1,0,-1,1,0
53,St Mary's Kitchen,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,-1,-1,-1,0,1,0,0,1,-1,-1,-1,-1,-1,1,1,-1,-1,0
54,Sam's Master Grill,1,1,1,-1,1,-1,0,0,0,0,0,0,-1,1,-1,-1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,1,0,-1,-1,-1,0,0,0,-1,0,0
55,Oh Calcutta,1,1,1,-1,1,-1,-1,1,0,0,0,1,-1,1,0,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,0
56,Turtle Bay,1,1,1,0,1,-1,1,1,0,0,1,1,-1,0,-1,-1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,0,-1,-1,0,-1,1,-1,-1,-1,0,1,0,-1,-1,-1,0,0,1,1,-1,1,0
